date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
20020812,0,257914,10,7.304347826086956,759,1,3,9,27.027984339500843,37.2672548571957,82,9,129.39260892289172,9.47789123979474
20020814,0,257312,10,7.304347826086956,759,1,3,9,26.964898013933485,37.18026893388781,82,9,128.71536906420653,9.478641757304215
20020906,0,214659,11,7.721552878179384,747,1,3,9,20.530686182992333,28.601369716996217,90,11,125.7547346582794,9.9123262739761
20020928,0,214659,11,7.721552878179384,747,1,3,9,20.530686182992333,28.601369716996217,90,11,125.7547346582794,9.9123262739761
20020929,0,220804,11,7.710455764075067,746,1,3,9,21.1184140052336,29.420135372808186,90,11,125.59631274785619,9.91025145278439
20021004,0,210633,11,7.422437673130194,722,1,3,9,23.04901909289072,31.780900046170142,86,11,123.88588231499266,9.586310568902745
20021011,0,204488,11,7.434301521438451,723,1,3,9,22.376587791405136,30.853725145828243,86,11,124.05729658401168,9.587963737324802
20021024,0,210633,11,7.422437673130194,722,1,3,9,23.04901909289072,31.780900046170142,86,11,123.88588231499266,9.586310568902745
20021110,0,202336,10,7.576441102756892,798,1,3,9,20.678434482589463,28.807198382641875,100,10,123.83905665534948,10.62671701556932
20021121,0,202422,10,7.578419071518193,797,1,3,9,20.68722355307372,28.819442467040634,101,10,123.84048187759338,10.673740314538563
20021125,0,185977,11,7.612623762376238,808,1,3,9,19.00656931919451,26.478117258464078,102,12,125.26833619128608,10.896004334514194
20021126,0,208567,10,7.567839195979899,796,1,3,9,21.31523329872211,29.69432500925425,101,10,123.68846847427268,10.67186907163864
20021128,0,185977,11,7.612623762376238,808,1,3,9,19.00656931919451,26.478117258464078,102,12,125.26833619128608,10.896004334514194
20021227,0,200312,10,6.844970414201184,845,1,3,15,20.32056484336958,28.308648954211417,93,11,120.98289914531478,10.552222465960762
20030101,0,188226,11,7.666666666666667,858,1,3,8,19.094505762051615,26.60062182023742,97,12,122.47996160435154,10.883302280571593
20030208,0,215657,11,7.813246471226927,921,1,3,10,23.028665032163268,30.755638588409788,111,10,120.85142068245047,11.81980826436349
20030211,0,241678,11,7.727081138040042,949,1,3,10,25.87425913871664,34.55603534559181,110,12,124.45267082126354,12.034336805345967
20030325,0,206654,11,7.914252607184241,863,1,3,8,22.43507903421921,31.308365906129747,107,13,124.6815546600522,11.488876914812598
20030328,0,214559,11,7.914252607184241,863,1,3,8,23.293273406287998,32.50598430445717,107,13,124.76474071140825,11.49214440227917
20030401,0,210989,11,7.914252607184241,863,1,3,8,22.905701754385966,31.96512438263188,107,13,125.70191566440538,11.490486654386395
20030515,0,307333,11,7.78348623853211,1090,1,3,14,26.918798567754866,35.59801840056617,144,14,129.9760210189434,14.647651127051267
20030616,0,297714,11,7.800724637681159,1104,1,3,14,26.076285972546298,34.48386099151786,148,15,130.8430955962572,14.98450424381603
20030621,0,290006,11,7.625,864,1,3,13,27.273428330675014,36.06698869261115,122,14,131.2938038990735,12.381416580711615
20030704,0,303561,11,7.7305122494432075,898,1,3,13,27.8086089511986,36.77472345755887,122,15,133.10342958297437,12.609690742261176
20030804,0,288153,11,7.815789473684211,912,1,3,13,26.397113249444857,34.908130123652114,126,16,132.1888307827415,12.944213141585946
20030829,0,394605,11,8.015813953488372,1075,1,3,10,36.55482969704156,37.43511076705904,141,16,121.00615054018057,14.515492367880986
20030926,0,394605,11,8.015813953488372,1075,1,3,10,36.55482969704156,37.43511076705904,141,16,123.47575331158197,14.513703837113137
20031011,0,363243,11,8.106288751107174,1129,1,3,11,33.64956349676884,34.45988251633615,148,15,123.72779066117852,15.079566847548142
20031101,0,361841,11,8.37261698440208,1154,1,3,10,33.17207554088742,33.587765710572725,156,17,124.55271646407026,15.75794309023765
20031122,0,365411,11,8.37261698440208,1154,1,3,10,33.49935826916025,33.91914972616727,156,17,126.70248527944237,15.759266997045131
20031207,0,240380,11,8.610650887573964,845,1,2,5,25.82465277777778,26.71743846919903,115,17,116.27105341831577,12.023021551363962
20031215,0,299039,11,8.603614457831325,830,1,2,5,32.12654273239824,33.23719145682174,113,16,115.32933451960889,11.787617735072553
20040104,0,275391,11,8.600481347773767,831,1,2,5,29.585976175742573,30.608794814340587,113,17,116.39622781031328,11.846792605537138
20040119,0,275077,11,8.602641056422568,833,1,2,5,29.552242333608362,30.57389475743349,114,17,116.37911613598769,11.908703407808703
20040224,0,256751,11,8.842458100558659,895,1,2,4,27.5356272628996,27.810983535528596,120,16,126.2672087153806,12.521661701819914
